# x_m,y_m,altitude (m)
-248.108172,343.021188,14.1
-243.874575,340.366289,14.7
-239.701042,337.617898,15.2
-235.583232,334.786695,15.4
-231.51587,331.883466,15.5
-227.49249,328.919545,15.3
-223.505739,325.906508,15.1
-219.547307,322.856387,15
-215.609011,319.780344,14.6
-211.686027,316.684727,14.1
-207.777398,313.570947,13.8
-203.880513,310.442497,13.9
-199.988891,307.307515,14.1
-196.098546,304.170947,14.9
-192.208734,301.033717,15.4
-188.319348,297.89596,15.6
-184.430291,294.757795,15.5
-180.541487,291.619316,15.1
-176.652874,288.4806,14.3
-172.764394,285.341721,14.7
-168.875984,282.202754,15.9
-164.987585,279.063774,17
-161.099135,275.924856,18
-157.210574,272.786076,18.6
-153.321842,269.647508,19
-149.432878,266.509228,19.6
-145.543621,263.37131,20.4
-141.654011,260.23383,21.3
-137.763988,257.096863,22.4
-133.87349,253.960484,23.6
-129.982458,250.824769,24.7
-126.09083,247.689792,25
-122.198547,244.555629,24.8
-118.305548,241.422355,24.8
-114.411773,238.290046,25
-110.517161,235.158777,25.3
-106.621653,232.028624,25.7
-102.725187,228.899662,26.1
-98.827705,225.771967,26
-94.929146,222.645615,25.9
-91.029449,219.520681,25.3
-87.128556,216.39724,24.8
-83.226437,213.275333,24.4
-79.323089,210.15496,24.2
-75.418517,207.036122,23.5
-71.512717,203.918815,23
-67.605706,200.803045,22.6
-63.69756,197.68866,22.4
-59.790537,194.572817,22.4
-55.898529,191.438281,22.4
-52.059422,188.23964,21.8
-48.326993,184.917494,21.2
-44.775944,181.402099,20.6
-41.50205,177.628074,20.2
-38.610345,173.555418,19.8
-36.207185,169.176497,19.4
-34.406835,164.519142,19.1
-33.327966,159.645773,18.6
-33.153071,154.661143,17.6
-33.872348,149.722326,16.5
-35.126558,144.885948,15.4
-36.481681,140.077626,14.3
-37.513988,135.187598,13.3
-37.826301,130.200965,12.3
-37.102823,125.26528,11.6
-35.38021,120.579828,10.9
-32.916106,116.244473,10.3
-29.911773,112.260678,9.7
-26.428095,108.680564,9
-22.548981,105.533248,8.4
-18.371266,102.794242,7.9
-13.970825,100.42942,7.3
-9.405335,98.400215,7
-4.718105,96.669308,6.8
0.05827,95.201108,6.6
4.900468,93.966598,6.4
9.789842,92.934718,6.2
14.710594,92.064341,6.1
19.652272,91.321543,5.9
24.60805,90.679274,5.7
29.572958,90.111644,5.6
34.543242,89.593009,5.4
39.515896,89.097506,5.3
44.488261,88.599135,5.2
49.457667,88.072209,5.1
54.421295,87.493517,5
59.37591,86.842314,5
64.317392,86.098203,5
69.24045,85.240841,4.9
74.138358,84.2501,4.9
79.002678,83.106016,4.8
83.823117,81.789477,4.8
88.587559,80.283096,4.8
93.281824,78.570757,4.8
97.889789,76.638367,4.8
102.395147,74.477674,4.9
106.786011,72.092845,4.9
111.056737,69.498758,4.9
115.200147,66.705723,4.9
119.207831,63.721233,4.9
123.072621,60.553819,4.9
126.787817,57.212201,4.9
130.346415,53.704407,4.8
133.744383,50.040751,4.8
136.990069,46.2413,4.8
140.103892,42.332966,4.8
143.104489,38.337007,4.7
145.992088,34.25862,4.7
148.751043,30.092252,4.6
151.366403,25.83436,4.6
153.836672,21.490563,4.5
156.179784,17.076768,4.5
158.417717,12.608707,4.5
160.564745,8.096252,4.5
162.621728,3.54205,4.4
164.585581,-1.053078,4.4
166.45749,-5.686439,4.4
168.243643,-10.353544,4.3
169.95122,-15.049977,4.3
171.587405,-19.771769,4.3
173.159589,-24.515264,4.3
174.675286,-29.277117,4.2
176.142134,-34.054251,4.2
177.567872,-38.843821,4.2
178.960326,-43.643178,4.2
180.32739,-48.449834,4.1
181.67686,-53.26146,4.1
183.015204,-58.076194,4.1
184.346502,-62.892882,4.1
185.674298,-67.710538,4
187.000302,-72.528687,4
188.325385,-77.347089,4
189.650328,-82.16553,3.9
190.97592,-86.983792,3.9
192.302946,-91.80166,3.8
193.632193,-96.618915,3.8
194.964447,-101.435339,3.8
196.300494,-106.250712,3.7
197.64112,-111.064813,3.7
198.987107,-115.877417,3.7
200.339243,-120.688298,3.6
201.698302,-125.497227,3.6
203.065,-130.30399,3.6
204.440008,-135.108383,3.6
205.823994,-139.910198,3.6
207.217628,-144.709221,3.5
208.621576,-149.505236,3.5
210.036503,-154.298024,3.5
211.463074,-159.087359,3.5
212.901953,-163.87301,3.4
214.353809,-168.65474,3.4
215.819346,-173.432295,3.4
217.299053,-178.205479,3.4
218.792485,-182.974388,3.3
220.298337,-187.73939,3.3
221.81513,-192.500921,3.3
223.34148,-197.259397,3.3
224.875993,-202.015247,3.3
226.417281,-206.768906,3.2
227.963958,-211.520814,3.2
229.514638,-216.271418,3.2
231.067938,-221.021166,3.3
232.622473,-225.770509,3.3
234.176862,-230.519901,3.3
235.729719,-235.269793,3.3
237.279671,-240.020635,3.3
238.825301,-244.772883,3.3
240.364763,-249.527138,3.3
241.894595,-254.284502,3.4
243.404754,-259.048114,3.4
244.86315,-263.827777,3.4
246.200683,-268.642512,3.4
247.335492,-273.508722,3.5
248.189141,-278.431706,3.6
248.68865,-283.402688,3.7
248.759657,-288.397613,3.8
248.324008,-293.373319,3.9
247.304341,-298.261981,3.9
245.631624,-302.966149,4
243.241958,-307.34834,4.2
240.059279,-311.188964,4.3
236.073981,-314.184188,4.3
231.496974,-316.162047,4.3
226.601275,-317.118296,4.2
221.611,-317.109956,4
216.695911,-316.238101,3.9
211.975608,-314.610851,3.7
207.53386,-312.329038,3.6
203.422792,-309.493146,3.5
199.653991,-306.214914,3.5
196.209538,-302.59669,3.4
193.074248,-298.707004,3.4
190.239674,-294.592688,3.4
187.693102,-290.293917,3.4
185.412144,-285.848271,3.4
183.361382,-281.291647,3.4
181.500673,-276.653994,3.4
179.787633,-271.959656,3.4
178.180041,-267.228094,3.4
176.649438,-262.471038,3.4
175.187221,-257.692504,3.5
173.788112,-252.895104,3.5
172.444975,-248.08173,3.5
171.15018,-243.255121,3.6
169.896491,-238.417668,3.6
168.676942,-233.571491,3.6
167.484544,-228.71856,3.6
166.31227,-223.860726,3.6
165.153076,-218.999753,3.7
163.999911,-214.137346,3.7
162.845735,-209.275179,3.7
161.683532,-204.414924,3.7
160.506323,-199.558284,3.8
159.307186,-194.707015,3.8
158.07925,-189.862955,3.8
156.815759,-185.028043,3.9
155.509684,-180.204469,3.9
154.153325,-175.394803,4
152.738872,-170.601909,4
151.258675,-165.828921,4
149.705411,-161.079218,4
148.072578,-156.356296,4.1
146.35467,-151.663646,4.1
144.549003,-147.004048,4.1
142.653922,-142.380104,4.2
140.667654,-137.794602,4.2
138.588305,-133.250561,4.3
136.413863,-128.751263,4.3
134.142222,-124.300258,4.3
131.771752,-119.901097,4.4
129.301463,-115.557197,4.4
126.730793,-111.271943,4.4
124.059673,-107.048581,4.5
121.288598,-102.890123,4.5
118.419526,-98.79866,4.5
115.454754,-94.776002,4.6
112.394415,-90.825563,4.6
109.240313,-86.949572,4.6
105.995154,-83.149487,4.7
102.662071,-79.426276,4.7
99.244368,-75.78058,4.8
95.746708,-72.211509,4.8
92.176486,-68.715001,4.9
88.541024,-65.286358,4.9
84.847278,-61.920567,5
81.101891,-58.612323,5
77.311224,-55.356046,5.1
73.481403,-52.145898,5.1
69.618357,-48.975799,5.1
65.727964,-45.83931,5.2
61.816424,-42.729226,5.2
57.890333,-39.637525,5.3
53.955068,-36.557506,5.3
50.012681,-33.486607,5.4
46.063751,-30.424126,5.4
42.109855,-27.368058,5.5
38.154776,-24.313521,5.5
34.201311,-21.256897,5.6
30.250343,-18.197043,5.7
26.302088,-15.133692,5.8
22.356685,-12.066668,5.9
18.414097,-8.996025,6
14.472964,-5.923515,6.2
10.529714,-2.853724,6.3
6.582303,0.210715,6.5
